Age,Total,Indigenous,Non-indigenous,Indigenous status not
,,,,stated
Total all ages,21 507 719,548371,19 900 765,1 058583
0-4 years,1 421 048,67416,1 282738,70894
5-9 years,1 351 921,64935,1 222 111,64875
10-14 years,1 371 055,64734,1 241 794,64527
15-19 years,1 405798,59200,1 282018,64580
20-24 years,1 460675,46455,1 333622,80598
25-29 years,1 513237,38803,1 387922,86512
30-34 years,1 453777,33003,1 345763,75011
35-39 years,1 520 138,34072,1 414171,71 895
40-44 years,1 542879,33606,1 438346,70927
45-49 years,1 504 142,28818,1 407494,67830
50-54 years,1 447403,24326,1 357677,65400
55-59 years,1 297247,18640,1 220 529,58078
60-64 years,1 206 117,13592,1 138395,54 130
65 years and over,3012282,20771,2 828 185,163326
